level1_id,level1_name,bucket_id,bucket_name,hotword_applicable,source_term_count,contributed_unique_count,overlap_count,coverage_status,note
ASR-NUM,人数、楼层、门牌与编号,ASR-NUM-02,楼栋、单元、楼层与房间编号,no,0,0,0,AVAILABLE,数字组合不枚举为静态热词，避免误触发；作为测试分桶保留
ASR-NUM,人数、楼层、门牌与编号,ASR-NUM-03,道路门牌,no,0,0,0,AVAILABLE,数字组合不枚举为静态热词，避免误触发；作为测试分桶保留
ASR-NUM,人数、楼层、门牌与编号,ASR-NUM-04,距离与范围,no,0,0,0,AVAILABLE,数字组合不枚举为静态热词，避免误触发；作为测试分桶保留
ASR-NUM,人数、楼层、门牌与编号,ASR-NUM-05,电话及业务编号,no,0,0,0,AVAILABLE,数字组合不枚举为静态热词，避免误触发；作为测试分桶保留
ASR-NUM,人数、楼层、门牌与编号,ASR-NUM-06,约数和范围,no,0,0,0,AVAILABLE,数字组合不枚举为静态热词，避免误触发；作为测试分桶保留
ASR-NEG,否定、改口与不确定表达,ASR-NEG-01,否定,no,0,0,0,AVAILABLE,高频否定/改口词不建议热词偏置，避免改变普通句识别；作为测试分桶保留
ASR-NEG,否定、改口与不确定表达,ASR-NEG-02,改口,no,0,0,0,AVAILABLE,高频否定/改口词不建议热词偏置，避免改变普通句识别；作为测试分桶保留
ASR-NEG,否定、改口与不确定表达,ASR-NEG-03,不确定,no,0,0,0,AVAILABLE,高频否定/改口词不建议热词偏置，避免改变普通句识别；作为测试分桶保留
ASR-NEG,否定、改口与不确定表达,ASR-NEG-04,状态变化,no,0,0,0,AVAILABLE,高频否定/改口词不建议热词偏置，避免改变普通句识别；作为测试分桶保留
ASR-SCENE,其他警情专业表达,ASR-SCENE-01,社会救助,yes,7,7,0,AVAILABLE,可作为分类词表；正式A/C测试仍须对所有样本加载同一冻结全局词表
ASR-SCENE,其他警情专业表达,ASR-SCENE-02,抢险救援,yes,18,15,3,AVAILABLE,可作为分类词表；正式A/C测试仍须对所有样本加载同一冻结全局词表
ASR-SCENE,其他警情专业表达,ASR-SCENE-03,走失与失踪,yes,4,3,1,AVAILABLE,可作为分类词表；正式A/C测试仍须对所有样本加载同一冻结全局词表
ASR-SCENE,其他警情专业表达,ASR-SCENE-04,轻生,yes,6,6,0,AVAILABLE,可作为分类词表；正式A/C测试仍须对所有样本加载同一冻结全局词表
ASR-SCENE,其他警情专业表达,ASR-SCENE-05,溺水与水域救援,yes,6,4,2,VERY_THIN,可作为分类词表；正式A/C测试仍须对所有样本加载同一冻结全局词表
ASR-SCENE,其他警情专业表达,ASR-SCENE-06,内涝与积水,yes,3,3,0,VERY_THIN,可作为分类词表；正式A/C测试仍须对所有样本加载同一冻结全局词表
ASR-SCENE,其他警情专业表达,ASR-SCENE-07,井下与受限空间,yes,5,4,1,VERY_THIN,可作为分类词表；正式A/C测试仍须对所有样本加载同一冻结全局词表
ASR-SCENE,其他警情专业表达,ASR-SCENE-08,高空救援,yes,7,5,2,AVAILABLE,可作为分类词表；正式A/C测试仍须对所有样本加载同一冻结全局词表
ASR-BLD,建筑用途与结构,ASR-BLD-01,建筑用途,yes,256,2,254,AVAILABLE,可作为分类词表；正式A/C测试仍须对所有样本加载同一冻结全局词表
ASR-BLD,建筑用途与结构,ASR-BLD-02,建筑结构,yes,12,10,2,AVAILABLE,可作为分类词表；正式A/C测试仍须对所有样本加载同一冻结全局词表
ASR-BLD,建筑用途与结构,ASR-BLD-03,高度与层数,yes,75,7,68,AVAILABLE,可作为分类词表；正式A/C测试仍须对所有样本加载同一冻结全局词表
ASR-BLD,建筑用途与结构,ASR-BLD-04,地上与地下,yes,8,5,3,AVAILABLE,可作为分类词表；正式A/C测试仍须对所有样本加载同一冻结全局词表
ASR-BLD,建筑用途与结构,ASR-BLD-05,内部功能区,yes,17,1,16,AVAILABLE,可作为分类词表；正式A/C测试仍须对所有样本加载同一冻结全局词表
ASR-HAZ,危险物、燃烧物与消防设施,ASR-HAZ-01,危险物质,yes,11,10,1,AVAILABLE,可作为分类词表；正式A/C测试仍须对所有样本加载同一冻结全局词表
ASR-HAZ,危险物、燃烧物与消防设施,ASR-HAZ-02,能量体,yes,12,7,5,AVAILABLE,可作为分类词表；正式A/C测试仍须对所有样本加载同一冻结全局词表
ASR-HAZ,危险物、燃烧物与消防设施,ASR-HAZ-03,燃烧物,yes,20,0,20,AVAILABLE,可作为分类词表；正式A/C测试仍须对所有样本加载同一冻结全局词表
ASR-HAZ,危险物、燃烧物与消防设施,ASR-HAZ-04,消防设施,yes,8,8,0,AVAILABLE,可作为分类词表；正式A/C测试仍须对所有样本加载同一冻结全局词表
ASR-HAZ,危险物、燃烧物与消防设施,ASR-HAZ-05,消防设施状态,yes,0,0,0,VERY_THIN,可作为分类词表；正式A/C测试仍须对所有样本加载同一冻结全局词表
ASR-SPAT,方位、距离与空间表达,ASR-SPAT-01,方向,yes,3,3,0,AVAILABLE,可作为分类词表；正式A/C测试仍须对所有样本加载同一冻结全局词表
ASR-SPAT,方位、距离与空间表达,ASR-SPAT-02,距离,yes,0,0,0,AVAILABLE,可作为分类词表；正式A/C测试仍须对所有样本加载同一冻结全局词表
ASR-SPAT,方位、距离与空间表达,ASR-SPAT-03,方向加距离,yes,0,0,0,AVAILABLE,可作为分类词表；正式A/C测试仍须对所有样本加载同一冻结全局词表
ASR-SPAT,方位、距离与空间表达,ASR-SPAT-04,邻近、对面与拓扑,yes,2,1,1,AVAILABLE,可作为分类词表；正式A/C测试仍须对所有样本加载同一冻结全局词表
ASR-SPAT,方位、距离与空间表达,ASR-SPAT-05,里面与外面,yes,1,1,0,AVAILABLE,可作为分类词表；正式A/C测试仍须对所有样本加载同一冻结全局词表
ASR-SPAT,方位、距离与空间表达,ASR-SPAT-06,边界与入口,yes,4,0,4,AVAILABLE,可作为分类词表；正式A/C测试仍须对所有样本加载同一冻结全局词表
ASR-SPAT,方位、距离与空间表达,ASR-SPAT-07,约数与模糊范围,yes,0,0,0,AVAILABLE,可作为分类词表；正式A/C测试仍须对所有样本加载同一冻结全局词表
ASR-DIALECT,方言、口音与口语,ASR-DIALECT-01,地区方言候选,no,0,0,0,AVAILABLE,声学/说话人条件，不适合通过静态热词实现
ASR-DIALECT,方言、口音与口语,ASR-DIALECT-02,口音强度,no,0,0,0,TEXT_UNVERIFIABLE,声学/说话人条件，不适合通过静态热词实现
ASR-DIALECT,方言、口音与口语,ASR-DIALECT-03,语速,no,0,0,0,TEXT_UNVERIFIABLE,声学/说话人条件，不适合通过静态热词实现
ASR-DIALECT,方言、口音与口语,ASR-DIALECT-04,吞字、重复、口吃与非规范口语候选,no,0,0,0,AVAILABLE,声学/说话人条件，不适合通过静态热词实现
ASR-NOISE,噪声鲁棒与有效语音保真,ASR-NOISE-01,警铃候选,no,0,0,0,VERY_THIN,声学/说话人条件，不适合通过静态热词实现
ASR-NOISE,噪声鲁棒与有效语音保真,ASR-NOISE-02,哭喊候选,no,0,0,0,VERY_THIN,声学/说话人条件，不适合通过静态热词实现
ASR-NOISE,噪声鲁棒与有效语音保真,ASR-NOISE-03,风噪候选,no,0,0,0,VERY_THIN,声学/说话人条件，不适合通过静态热词实现
ASR-NOISE,噪声鲁棒与有效语音保真,ASR-NOISE-04,车辆与道路噪声候选,no,0,0,0,MISSING,声学/说话人条件，不适合通过静态热词实现
ASR-NOISE,噪声鲁棒与有效语音保真,ASR-NOISE-05,设备噪声候选,no,0,0,0,VERY_THIN,声学/说话人条件，不适合通过静态热词实现
ASR-NOISE,噪声鲁棒与有效语音保真,ASR-NOISE-06,混响,no,0,0,0,TEXT_UNVERIFIABLE,声学/说话人条件，不适合通过静态热词实现
ASR-NOISE,噪声鲁棒与有效语音保真,ASR-NOISE-07,信噪比高、中、低,no,0,0,0,TEXT_UNVERIFIABLE,声学/说话人条件，不适合通过静态热词实现
ASR-NOISE,噪声鲁棒与有效语音保真,ASR-NOISE-08,存在听不清片段,no,0,0,0,AVAILABLE,声学/说话人条件，不适合通过静态热词实现
ASR-MULTI,多人重叠与通话角色,ASR-MULTI-01,报警人与接警员双人通话,no,0,0,0,TEXT_UNVERIFIABLE,声学/说话人条件，不适合通过静态热词实现
ASR-MULTI,多人重叠与通话角色,ASR-MULTI-02,报警人与第三人候选,no,0,0,0,VERY_THIN,声学/说话人条件，不适合通过静态热词实现
ASR-MULTI,多人重叠与通话角色,ASR-MULTI-03,三方通话,no,0,0,0,MISSING,声学/说话人条件，不适合通过静态热词实现
ASR-MULTI,多人重叠与通话角色,ASR-MULTI-04,重叠语音,no,0,0,0,TEXT_UNVERIFIABLE,声学/说话人条件，不适合通过静态热词实现
ASR-MULTI,多人重叠与通话角色,ASR-MULTI-05,转接前后,no,0,0,0,AVAILABLE,声学/说话人条件，不适合通过静态热词实现
